customer_id,name,email,phone,customer_type,total_orders,successful_payments,failed_payments,lifetime_value,historical_success_rate
CUST_00001,Aryan Maharaj,udantdewan@example.net,+918196001338,returning,2,2,0,61600.52,1.0
CUST_00002,Rushil Saini,saumyamall@example.org,+916542351161,new,7,6,1,223098.8,0.857
CUST_00003,Hemangini Lalla,sharafjeet@example.com,+918495931034,new,28,16,12,23876.96,0.571
CUST_00004,Viraj Chaudhuri,dmall@example.net,02553419283,new,39,22,17,50109.99,0.564
CUST_00005,Turvi Raghavan,theodore50@example.org,+915641395376,returning,35,29,6,112577.66,0.829
CUST_00006,Luke Lanka,yatinyohannan@example.com,9696532871,new,1,1,0,40335.0,1.0
CUST_00007,Imaran Dua,pahalbhatt@example.com,09784801845,returning,18,14,4,239324.66,0.778
CUST_00008,Chaaya Saran,sudikshaaggarwal@example.net,4828148932,new,6,4,2,90065.36,0.667
CUST_00009,Neel Zacharia,naikvrinda@example.org,+915430391171,new,17,14,3,182568.08,0.824
CUST_00010,Kabir Soman,alkawable@example.net,03834657871,returning,25,19,6,73647.98,0.76
CUST_00011,Umang Bhatt,ansh98@example.org,3010310518,returning,24,21,3,176290.67,0.875
CUST_00012,Arya Sunder,kevinsolanki@example.org,06311656670,new,15,12,3,246312.77,0.8
CUST_00013,Darsh Rau,ikbal33@example.org,7262473178,returning,7,6,1,113625.87,0.857
CUST_00014,Chandresh Zachariah,chanderwarjas@example.org,07736026064,returning,11,9,2,52772.0,0.818
CUST_00015,Bhavika Sampath,mdubey@example.com,+910980500978,new,5,4,1,43199.09,0.8
CUST_00016,Dakshesh Trivedi,grewalekapad@example.net,+913619399091,returning,11,9,2,67851.98,0.818
CUST_00017,Diya Lal,diptakhare@example.com,02475107991,vip,36,33,3,81408.54,0.917
CUST_00018,Tanay Toor,kevin51@example.org,04278498084,returning,4,3,1,8509.01,0.75
CUST_00019,Krish Lalla,chhabranachiket@example.com,09353487401,new,18,10,8,228327.46,0.556
CUST_00020,Aradhana Basu,nathkalpit@example.net,02786801128,returning,21,17,4,125058.2,0.81
CUST_00021,Kala Divan,cdatta@example.com,00533158692,returning,30,23,7,35337.76,0.767
CUST_00022,Nicholas Goel,lbakshi@example.net,06342160733,returning,35,28,7,146354.2,0.8
CUST_00023,Inaya Mody,udantbajwa@example.net,+916541458685,returning,26,21,5,249332.78,0.808
CUST_00024,Jack Lal,alkabarad@example.org,6556981693,new,32,19,13,12255.54,0.594
CUST_00025,Chaitanya Sarin,venkateshronith@example.com,01595148465,new,11,9,2,105828.91,0.818
CUST_00026,Chakrika Datta,osharaghavan@example.net,2994680443,new,25,19,6,117278.45,0.76
CUST_00027,Ekanta Shroff,rsathe@example.org,7214895134,new,36,31,5,3364.51,0.861
CUST_00028,Rushil Din,batrayash@example.com,1769367632,returning,35,32,3,192265.38,0.914
CUST_00029,Hredhaan Sandal,patrickvasa@example.com,+918317278895,new,19,13,6,113704.06,0.684
CUST_00030,Yamini Sandhu,vdutt@example.com,04348734714,vip,17,17,0,190609.57,1.0
CUST_00031,Anita Nayak,faris22@example.org,02316658760,returning,7,6,1,74961.98,0.857
CUST_00032,Osha Ramachandran,raivansha@example.org,04668893734,returning,39,31,8,93791.51,0.795
CUST_00033,Vedika Balakrishnan,qnayar@example.net,02729806990,new,34,30,4,149936.67,0.882
CUST_00034,Priya Deshmukh,dgopal@example.com,05375564641,returning,8,7,1,219741.11,0.875
CUST_00035,Anirudh Zacharia,pallaudarsh@example.net,+910033092327,returning,20,16,4,60597.46,0.8
CUST_00036,Tejas Shroff,jyoti29@example.net,1241904966,returning,6,5,1,121754.62,0.833
CUST_00037,Faqid Kibe,mitrajai@example.net,+915865185067,new,35,29,6,32533.67,0.829
CUST_00038,Rachita Pathak,bdua@example.org,8498776945,returning,36,28,8,132154.61,0.778
CUST_00039,Gabriel Mallick,wkohli@example.com,9650752735,returning,14,13,1,188938.67,0.929
CUST_00040,Harini Mammen,advaith83@example.org,+916783777014,returning,20,17,3,168085.9,0.85
CUST_00041,Nidhi Kohli,jyoti78@example.net,06855744431,new,34,24,10,62352.45,0.706
CUST_00042,Diya Dar,rehaankalita@example.net,04989413435,new,2,2,0,57913.63,1.0
CUST_00043,Chasmum Atwal,anushabath@example.org,4271094777,new,5,4,1,15189.0,0.8
CUST_00044,Qarin Behl,vanya11@example.com,01902294131,new,3,3,0,18178.91,1.0
CUST_00045,Upkaar Virk,cseshadri@example.com,6499091334,new,32,20,12,33511.81,0.625
CUST_00046,Naksh Khatri,falandugar@example.org,07974034471,vip,37,35,2,61127.81,0.946
CUST_00047,Aishani Hora,icontractor@example.org,2421024994,returning,27,21,6,24684.24,0.778
CUST_00048,Jeet Sidhu,neha48@example.net,07190659401,returning,28,23,5,216027.27,0.821
CUST_00049,Ansh Luthra,gillupma@example.net,7429671756,new,7,4,3,182189.29,0.571
CUST_00050,Ekani Cheema,forumsabharwal@example.net,04680715451,returning,7,6,1,47957.12,0.857
CUST_00051,Yoshita Agarwal,dsachdev@example.org,5977034824,returning,28,22,6,115925.7,0.786
CUST_00052,Vedhika Dara,khatrinathan@example.com,0861317127,returning,5,4,1,215406.6,0.8
CUST_00053,Yashodhara Mahajan,esubramanian@example.org,08263982146,returning,4,4,0,135376.69,1.0
CUST_00054,Yashica Loke,mandalchanchal@example.net,7278755886,new,6,5,1,212249.59,0.833
CUST_00055,Ekanta Gulati,leelakaur@example.com,+915766270289,new,32,23,9,216230.27,0.719
CUST_00056,Harish Sarraf,voratanmayi@example.org,2621745961,vip,11,10,1,246334.56,0.909
CUST_00057,Lajita Nadig,nbanik@example.org,+914316117240,new,30,19,11,174299.58,0.633
CUST_00058,Ekta Bhalla,jagrati56@example.org,+918692221969,returning,36,32,4,121924.52,0.889
CUST_00059,Widisha Dhar,triyakumar@example.com,00748217594,new,14,12,2,145005.48,0.857
CUST_00060,Zashil Shan,rushil67@example.org,+916959440640,returning,21,16,5,146252.31,0.762
CUST_00061,Watika Mangat,indirakanda@example.net,+919421047095,returning,34,27,7,240214.34,0.794
CUST_00062,Gautam Merchant,ojasvi23@example.org,5884247451,new,12,7,5,17456.24,0.583
CUST_00063,Faqid Dhaliwal,mekhalapau@example.org,00481754965,returning,26,20,6,222626.68,0.769
CUST_00064,Vivaan Sinha,narangtimothy@example.net,+917461200471,new,39,22,17,20954.86,0.564
CUST_00065,Wahab Yogi,lipikasetty@example.com,8692617964,returning,37,32,5,233709.21,0.865
CUST_00066,Kamala Kalla,psaxena@example.com,+915850643171,new,21,13,8,99248.57,0.619
CUST_00067,Ansh Bedi,yagnesh29@example.org,+918393352904,returning,20,17,3,232290.07,0.85
CUST_00068,Kalpit Zachariah,owen10@example.org,+915395024026,vip,1,1,0,249614.38,1.0
CUST_00069,Devansh Soni,gpathak@example.net,+917839084700,vip,5,5,0,126718.23,1.0
CUST_00070,Neelima Sandhu,swaminathansachi@example.org,+915921249985,new,23,20,3,219877.93,0.87
CUST_00071,Chaitaly Setty,ychaudhary@example.net,+918367365766,new,11,8,3,136032.88,0.727
CUST_00072,Dhriti Sane,aadhya52@example.net,01111615280,new,34,19,15,204367.48,0.559
CUST_00073,Jason Roy,pallavi04@example.net,05198327315,new,7,6,1,34005.63,0.857
CUST_00074,Ishwar Mallick,pushtibal@example.net,4024455022,new,7,6,1,39284.25,0.857
CUST_00075,Ekaraj Dhar,chandtanveer@example.com,07525459910,new,14,11,3,51297.53,0.786
CUST_00076,Nakul Bawa,magarsaanvi@example.net,07976438156,returning,17,14,3,63154.75,0.824
CUST_00077,Bhanumati Sur,chakradev36@example.net,+910343244510,vip,4,4,0,106182.16,1.0
CUST_00078,Qushi Gill,lajitawalia@example.net,+918851606071,new,1,1,0,33139.51,1.0
CUST_00079,Pushti Ravel,hmann@example.com,+915297516136,vip,11,11,0,138144.27,1.0
CUST_00080,Farhan Randhawa,harinakshi35@example.org,+918188355231,returning,1,1,0,236290.21,1.0
CUST_00081,Aahana Hora,michaelborra@example.org,7799799552,returning,10,9,1,208731.46,0.9
CUST_00082,Ekansh Singh,ymitter@example.com,0581477005,returning,10,8,2,10936.3,0.8
CUST_00083,Faraj Chana,lshere@example.net,0793597820,new,3,3,0,52914.1,1.0
CUST_00084,Harshil Oza,thamanorinder@example.org,+917788925546,new,7,5,2,140190.94,0.714
CUST_00085,Hamsini Ben,dominic51@example.net,6449251925,returning,40,36,4,231478.07,0.9
CUST_00086,Manya Dayal,mukherjeekrisha@example.net,02816850542,new,11,10,1,202787.54,0.909
CUST_00087,Harita Sunder,upkaardevan@example.org,+914188805929,returning,2,2,0,231159.58,1.0
CUST_00088,Mitesh Gaba,noahsarma@example.org,05379473834,returning,27,25,2,216083.98,0.926
CUST_00089,Rishi Pillai,xshenoy@example.com,08862392407,returning,18,14,4,175468.91,0.778
CUST_00090,Harshil Varty,manefiyaz@example.org,07826137506,new,3,3,0,55997.21,1.0
CUST_00091,Meghana Thakkar,warinder61@example.com,+910515220472,returning,30,25,5,205223.83,0.833
CUST_00092,Saumya Ahluwalia,bahlaahana@example.org,+918986143410,returning,15,11,4,48685.88,0.733
CUST_00093,Oni Shankar,choudhryxalak@example.net,0893246095,new,5,4,1,70141.69,0.8
CUST_00094,Omaja Grover,viswanathanjalsa@example.org,8888067065,returning,26,23,3,210993.46,0.885
CUST_00095,Amol Parikh,paiwridesh@example.net,1952058527,new,2,1,1,242614.95,0.5
CUST_00096,Qabil Deshmukh,shankarbalhaar@example.com,+910305486874,new,17,10,7,149344.53,0.588
CUST_00097,Rayaan Mangal,champak54@example.org,06676527758,new,21,15,6,246066.84,0.714
CUST_00098,Fitan Samra,sanipranit@example.net,05115447962,new,37,23,14,11574.44,0.622
CUST_00099,Indali Sekhon,panditradhika@example.com,0165820297,returning,34,32,2,134843.77,0.941
CUST_00100,Jonathan Bhavsar,jeevikapathak@example.com,0927557192,returning,13,11,2,17958.47,0.846
CUST_00101,Mitali Murthy,zaid10@example.net,+917868144739,returning,22,19,3,166015.18,0.864
CUST_00102,Vritti Iyengar,deshmukhethan@example.com,+917155188442,new,20,15,5,166889.78,0.75
CUST_00103,Janaki Trivedi,jairajiyer@example.org,+917058957829,new,19,14,5,48364.1,0.737
CUST_00104,Dominic More,hsrinivas@example.com,09125177852,returning,25,22,3,225749.98,0.88
CUST_00105,Kai Sant,dashzarna@example.org,02253584143,returning,20,17,3,208514.43,0.85
CUST_00106,Jeremiah Mitter,thakkarom@example.net,2299590010,new,14,10,4,145206.2,0.714
CUST_00107,Shivansh Saha,tankbimala@example.net,07364710276,returning,30,25,5,169068.99,0.833
CUST_00108,Ucchal Jani,maanas55@example.net,06258815371,returning,11,10,1,71304.71,0.909
CUST_00109,Shivani Kota,gunbirbedi@example.com,09632595327,returning,40,33,7,204696.65,0.825
CUST_00110,Wishi Morar,fbajaj@example.com,7339500479,returning,20,16,4,50182.92,0.8
CUST_00111,Bhavika Yadav,chokshiraagini@example.org,05650609835,new,16,14,2,153012.86,0.875
CUST_00112,Ethan Raju,nmammen@example.net,1216558523,returning,30,25,5,157626.46,0.833
CUST_00113,Xiti Baria,baradlaksh@example.net,07872982595,new,25,18,7,61374.12,0.72
CUST_00114,Maya Mistry,yashica88@example.com,9470551694,returning,1,1,0,215179.92,1.0
CUST_00115,Urvi Lanka,charansrinivasan@example.org,9623091307,returning,28,22,6,201125.41,0.786
CUST_00116,Omya Doshi,ajani@example.net,7028385786,returning,30,23,7,62674.97,0.767
CUST_00117,Oscar Sharaf,irya49@example.com,+913484344375,returning,30,23,7,116428.49,0.767
CUST_00118,Ikshita Mahal,jairaj98@example.com,05240415747,returning,36,31,5,237534.88,0.861
CUST_00119,Saksham Yohannan,anita21@example.net,9330833016,returning,40,37,3,223059.06,0.925
CUST_00120,Urmi Chaudhry,abduldugar@example.com,7734540193,returning,36,30,6,40209.9,0.833
CUST_00121,Parth Sahni,balhaarranganathan@example.com,+914004991547,returning,29,23,6,62186.31,0.793
CUST_00122,Krish Thaman,mmahajan@example.org,02742054932,returning,34,29,5,60191.84,0.853
CUST_00123,Prisha Varma,gabriel61@example.org,+917530463745,returning,19,15,4,84293.96,0.789
CUST_00124,Advay Lal,warinder01@example.com,02684145933,returning,6,5,1,58199.74,0.833
CUST_00125,Vanya Dua,aprakash@example.net,7833918785,returning,14,11,3,102196.04,0.786
CUST_00126,Isaac Bhatia,masongala@example.com,7139718707,returning,27,21,6,208306.35,0.778
CUST_00127,Yochana Sagar,jbhardwaj@example.com,4064039106,new,38,33,5,5373.22,0.868
CUST_00128,Devansh Bhasin,sodhiazad@example.com,02265676618,returning,37,31,6,1971.07,0.838
CUST_00129,Ijaya Dani,mayawadhwa@example.org,3004786863,new,25,21,4,238380.87,0.84
CUST_00130,Triveni Pal,anyagulati@example.net,+910690331190,returning,35,32,3,224503.93,0.914
CUST_00131,Chanakya Konda,rattireva@example.org,3028439599,returning,18,15,3,7741.69,0.833
CUST_00132,Warjas Mittal,timothysachdev@example.com,00892687056,new,26,21,5,210206.16,0.808
CUST_00133,Omaja Rege,charitapuri@example.org,7334270866,vip,40,38,2,226778.75,0.95
CUST_00134,Lipika Kibe,samar51@example.com,01830469901,returning,2,2,0,107438.89,1.0
CUST_00135,Teerth Srinivas,gaurangimitter@example.org,+913173936385,returning,12,9,3,95086.41,0.75
CUST_00136,Lajita Shukla,darika45@example.net,07175355609,new,21,14,7,219970.18,0.667
CUST_00137,Madhav Babu,omisha42@example.org,03693785477,new,27,17,10,20935.61,0.63
CUST_00138,Om Pandey,logansuresh@example.org,0801006231,new,35,20,15,238003.96,0.571
